slice_degree,slice_definition,is_target_slice,support,support_pct,baseline_accuracy,sliceaware_accuracy,accuracy_delta_vs_baseline,baseline_gap_vs_overall,sliceaware_gap_vs_overall,gap_delta_vs_baseline,baseline_avg_true_winner_probability,sliceaware_avg_true_winner_probability,probability_delta_vs_baseline,delta_direction
2,tourney_level=D & handedness_matchup=R-vs-R,False,59,0.1,0.6441,0.678,0.0339,0.0339,0.0695,0.0356,0.5752,0.5672,-0.008,up
2,rank_gap_bucket=26-50 & age_gap_bucket=>8,False,30,0.0508,0.5333,0.5667,0.0333,-0.0768,-0.0418,0.035,0.5312,0.5379,0.0067,up
2,tourney_level=500 & age_gap_bucket=0-2,False,30,0.0508,0.6,0.6333,0.0333,-0.0102,0.0249,0.035,0.581,0.5752,-0.0058,up
2,round=RR & rank_gap_bucket=>100,False,30,0.0508,0.6333,0.6667,0.0333,0.0232,0.0582,0.035,0.5713,0.5626,-0.0087,up
2,rank_gap_bucket=11-25 & form_gap_bucket=0.25-0.40,False,30,0.0508,0.7667,0.8,0.0333,0.1565,0.1915,0.035,0.5911,0.6011,0.01,up
2,round=R32 & form_gap_bucket=0.10-0.25,False,63,0.1068,0.6349,0.6667,0.0317,0.0248,0.0582,0.0334,0.565,0.5614,-0.0036,up
2,tourney_level=500 & round=R32,False,64,0.1085,0.625,0.6562,0.0312,0.0148,0.0478,0.0329,0.5742,0.5686,-0.0056,up
2,rank_gap_bucket=51-100 & age_gap_bucket=3-5,False,32,0.0542,0.5938,0.625,0.0312,-0.0164,0.0165,0.0329,0.554,0.5641,0.0101,up
2,best_of=3 & round=R16,False,101,0.1712,0.6535,0.6832,0.0297,0.0433,0.0747,0.0314,0.5738,0.5687,-0.0051,up
1,round=R16,False,102,0.1729,0.6569,0.6863,0.0294,0.0467,0.0778,0.0311,0.5752,0.5705,-0.0047,up
2,surface=Hard & round=R16,False,102,0.1729,0.6569,0.6863,0.0294,0.0467,0.0778,0.0311,0.5752,0.5705,-0.0047,up
2,tourney_level=500 & form_gap_bucket=0.10-0.25,False,34,0.0576,0.6471,0.6765,0.0294,0.0369,0.068,0.0311,0.5772,0.5578,-0.0195,up
2,rank_gap_bucket=26-50 & form_gap_bucket=0.25-0.40,False,34,0.0576,0.6471,0.6765,0.0294,0.0369,0.068,0.0311,0.5848,0.5872,0.0024,up
2,round=R32 & form_gap_bucket=0.00-0.10,False,70,0.1186,0.5286,0.5571,0.0286,-0.0816,-0.0513,0.0303,0.5554,0.5491,-0.0063,up
2,rank_gap_bucket=26-50 & age_gap_bucket=0-2,False,36,0.061,0.6667,0.6944,0.0278,0.0565,0.086,0.0295,0.6174,0.5897,-0.0277,up
2,age_gap_bucket=3-5 & form_gap_bucket=0.25-0.40,False,39,0.0661,0.7436,0.7692,0.0256,0.1334,0.1608,0.0273,0.6004,0.5982,-0.0021,up
2,tourney_level=250 & age_gap_bucket=0-2,False,40,0.0678,0.625,0.65,0.025,0.0148,0.0415,0.0267,0.5615,0.5483,-0.0132,up
2,tourney_level=500 & rank_gap_bucket=26-50,False,41,0.0695,0.6341,0.6585,0.0244,0.024,0.0501,0.0261,0.592,0.5869,-0.0051,up
1,tourney_level=D,False,84,0.1424,0.5595,0.5833,0.0238,-0.0506,-0.0251,0.0255,0.5483,0.5449,-0.0034,up
2,tourney_level=D & best_of=3,False,84,0.1424,0.5595,0.5833,0.0238,-0.0506,-0.0251,0.0255,0.5483,0.5449,-0.0034,up
2,tourney_level=D & round=RR,False,84,0.1424,0.5595,0.5833,0.0238,-0.0506,-0.0251,0.0255,0.5483,0.5449,-0.0034,up
2,tourney_level=500 & handedness_matchup=R-vs-R,False,84,0.1424,0.619,0.6429,0.0238,0.0089,0.0344,0.0255,0.5716,0.5647,-0.0069,up
2,round=R16 & form_gap_bucket=0.00-0.10,False,43,0.0729,0.6512,0.6744,0.0233,0.041,0.0659,0.025,0.5551,0.5527,-0.0024,up
2,round=R32 & handedness_matchup=R-vs-R,False,133,0.2254,0.6241,0.6466,0.0226,0.0139,0.0381,0.0243,0.5683,0.5684,0.0001,up
2,handedness_matchup=R-vs-R & form_gap_bucket=0.25-0.40,False,89,0.1508,0.7528,0.7753,0.0225,0.1426,0.1668,0.0242,0.6043,0.6061,0.0018,up
1,round=R32,False,180,0.3051,0.6056,0.6278,0.0222,-0.0046,0.0193,0.0239,0.5645,0.562,-0.0025,up
2,surface=Hard & round=R32,False,180,0.3051,0.6056,0.6278,0.0222,-0.0046,0.0193,0.0239,0.5645,0.562,-0.0025,up
2,best_of=3 & round=R32,False,180,0.3051,0.6056,0.6278,0.0222,-0.0046,0.0193,0.0239,0.5645,0.562,-0.0025,up
2,tourney_level=250 & rank_gap_bucket=>100,False,52,0.0881,0.5385,0.5577,0.0192,-0.0717,-0.0508,0.0209,0.5317,0.5285,-0.0031,up
2,tourney_level=250 & age_gap_bucket=>8,False,53,0.0898,0.5472,0.566,0.0189,-0.063,-0.0424,0.0206,0.5158,0.5181,0.0023,up
2,round=R32 & rank_gap_bucket=26-50,False,54,0.0915,0.6111,0.6296,0.0185,0.0009,0.0212,0.0202,0.5863,0.58,-0.0063,up
2,tourney_level=250 & round=R16,False,55,0.0932,0.6364,0.6545,0.0182,0.0262,0.0461,0.0199,0.5591,0.5593,0.0003,up
2,best_of=3 & form_gap_bucket=0.25-0.40,False,124,0.2102,0.7177,0.7339,0.0161,0.1076,0.1254,0.0178,0.5863,0.5843,-0.002,up
2,age_gap_bucket=0-2 & form_gap_bucket=0.00-0.10,False,62,0.1051,0.6613,0.6774,0.0161,0.0511,0.0689,0.0178,0.5637,0.5484,-0.0153,up
2,surface=Hard & form_gap_bucket=0.25-0.40,False,131,0.222,0.7023,0.7176,0.0153,0.0921,0.1091,0.017,0.5816,0.5797,-0.002,up
1,form_gap_bucket=0.25-0.40,False,132,0.2237,0.7045,0.7197,0.0152,0.0944,0.1112,0.0168,0.582,0.58,-0.002,up
2,tourney_level=250 & form_gap_bucket=0.00-0.10,False,72,0.122,0.4722,0.4861,0.0139,-0.1379,-0.1224,0.0156,0.5056,0.5091,0.0036,up
2,handedness_matchup=R-vs-R & rank_gap_bucket=51-100,False,76,0.1288,0.6974,0.7105,0.0132,0.0872,0.1021,0.0149,0.592,0.5928,0.0008,up
2,surface=Hard & tourney_level=D,False,77,0.1305,0.5584,0.5714,0.013,-0.0517,-0.037,0.0147,0.547,0.5446,-0.0024,up
2,best_of=3 & rank_gap_bucket=51-100,False,101,0.1712,0.6634,0.6733,0.0099,0.0532,0.0648,0.0116,0.5759,0.5752,-0.0007,up
2,handedness_matchup=R-vs-R & age_gap_bucket=0-2,False,104,0.1763,0.6731,0.6827,0.0096,0.0629,0.0742,0.0113,0.5831,0.5724,-0.0107,up
2,surface=Hard & rank_gap_bucket=51-100,False,107,0.1814,0.6355,0.6449,0.0093,0.0253,0.0364,0.011,0.5688,0.5683,-0.0006,up
1,rank_gap_bucket=51-100,False,108,0.1831,0.6389,0.6481,0.0093,0.0287,0.0397,0.011,0.5689,0.5682,-0.0007,up
2,best_of=3 & rank_gap_bucket=>100,False,117,0.1983,0.6325,0.641,0.0085,0.0223,0.0326,0.0102,0.5763,0.5683,-0.008,up
1,rank_gap_bucket=>100,False,119,0.2017,0.6218,0.6303,0.0084,0.0117,0.0218,0.0101,0.5721,0.5634,-0.0087,up
2,surface=Hard & age_gap_bucket=>8,False,123,0.2085,0.6016,0.6098,0.0081,-0.0085,0.0013,0.0098,0.5527,0.5519,-0.0008,up
1,age_gap_bucket=>8,False,124,0.2102,0.6048,0.6129,0.0081,-0.0053,0.0044,0.0098,0.5534,0.5523,-0.0011,up
2,best_of=3 & age_gap_bucket=>8,False,124,0.2102,0.6048,0.6129,0.0081,-0.0053,0.0044,0.0098,0.5534,0.5523,-0.0011,up
2,best_of=3 & rank_gap_bucket=26-50,False,143,0.2424,0.6364,0.6434,0.007,0.0262,0.0349,0.0087,0.5808,0.5731,-0.0077,up
1,rank_gap_bucket=26-50,False,144,0.2441,0.6389,0.6458,0.0069,0.0287,0.0374,0.0086,0.5809,0.5734,-0.0075,up
2,surface=Hard & rank_gap_bucket=26-50,False,144,0.2441,0.6389,0.6458,0.0069,0.0287,0.0374,0.0086,0.5809,0.5734,-0.0075,up
2,best_of=3 & form_gap_bucket=0.00-0.10,False,221,0.3746,0.5656,0.5701,0.0045,-0.0446,-0.0383,0.0062,0.5397,0.5311,-0.0086,up
2,surface=Hard & form_gap_bucket=0.00-0.10,False,227,0.3847,0.5683,0.5727,0.0044,-0.0419,-0.0358,0.0061,0.5389,0.5297,-0.0092,up
1,form_gap_bucket=0.00-0.10,False,230,0.3898,0.5696,0.5739,0.0043,-0.0406,-0.0346,0.006,0.5398,0.5305,-0.0093,up
2,handedness_matchup=R-vs-R & form_gap_bucket=0.00-0.10,False,174,0.2949,0.5517,0.5517,0.0,-0.0584,-0.0568,0.0017,0.5329,0.5248,-0.0082,flat
1,age_gap_bucket=0-2,False,150,0.2542,0.66,0.66,0.0,0.0498,0.0515,0.0017,0.5764,0.5619,-0.0145,flat
2,surface=Hard & age_gap_bucket=0-2,False,150,0.2542,0.66,0.66,0.0,0.0498,0.0515,0.0017,0.5764,0.5619,-0.0145,flat
